vs_name,vs_id,ftm_name,ftm_id 
save the children action network,2557,Save The Children Action Network,47691917
save the children action network,2557,Save The Children Action Network,51397906
save the children action network,2557,Save The Children Action Network,54859205
save the children action network,2557,Save The Children Action Network,55399058
save the children action network,2557,Save The Children Action Network,55559757
sargent shriver national center on poverty law,1781,TimeoutException,TimeoutException
national defense pac,1975,National Defense Pac,18930282
national defense pac,1975,National Defense Pac,20814981
american forest and paper association,22,TimeoutException,TimeoutException
real justice pac,2817,Real Justice Pac (Fed Pac Id #C00632554),47283318
real justice pac,2817,Real Justice Pac Fed Pac Id C00632554,47416562
real justice pac,2817,Real Justice Pac-Unlimited,48133323
womens campaign fund,1910,Womens Campaign Fund,11006469
womens campaign fund,1910,Womens Campaign Fund,11021598
womens campaign fund,1910,Womens Campaign Fund,24769765
womens campaign fund,1910,Womens Campaign Fund,4463556
womens campaign fund,1910,Womens Campaign Fund,4468643
womens campaign fund,1910,Womens Campaign Fund,4554243
womens campaign fund,1910,Womens Campaign Fund,5592420
womens campaign fund,1910,Womens Campaign Fund,5763830
womens campaign fund,1910,Womens Campaign Fund,6722583
womens campaign fund,1910,Womens Campaign Fund,6903813
womens campaign fund,1910,Womens Campaign Fund,7875378
womens campaign fund,1910,Womens Campaign Fund,8082318
womens campaign fund,1910,Womens Campaign Fund,8575962
southern alliance for clean energy action fund,1870,Southern Alliance For Clean Energy Action Fund,41730108
coalition of franchisee associations,2806,Coalition Of Franchisee Associations,14050087
coalition of franchisee associations,2806,Coalition Of Franchisee Associations,38428888
coalition of franchisee associations,2806,Coalition Of Franchisee Associations,45034245
the collective political action committee,2628,TimeoutException,TimeoutException
los angeles womens collective,2721,Los Angeles Womens Collective Political Action Com,49658214
los angeles womens collective,2721,Los Angeles Womens Giving Collective,42722349
los angeles womens collective,2721,Los Angeles Womens Giving Collective Pac Idc00619528,49102225
national foreign trade council,2103,National Foreign Trade Council,10814765
international association of sheet metal air rail and transportation smart workers,3111,TimeoutException,TimeoutException
every district,2913,Every District,46661989
every district,2913,Every District,47732167
every district,2913,Every District,52697804
american progressives in stem,3070,TimeoutException,TimeoutException
smokefree action,1552,New Jersey Smokefree Action Cmte,6624648
league of united latin american citizens,1059,League Of United Latin American Citizens,41729011
league of united latin american citizens,1059,League Of United Latin American Citizens,42049157
league of united latin american citizens,1059,League Of United Latin American Citizens,44753208
league of united latin american citizens,1059,League Of United Latin American Citizens,44793093
league of united latin american citizens,1059,League Of United Latin American Citizens,44820959
league of united latin american citizens,1059,League Of United Latin American Citizens,48591786
serve america pac,2816,Serve America Pac-Restricted,49658728
voices for creative nonviolence,1936,TimeoutException,TimeoutException
tea party express,2158,Tea Party Express,17822481
international brotherhood of boilermakers,374,International Brotherhood Of Boilermakers,48854986
international brotherhood of boilermakers,374,International Brotherhood Of Boilermakers,49854508
retail wholesale and department store union,2644,TimeoutException,TimeoutException
teachers of english to speakers of other languages tesol,1757,TimeoutException,TimeoutException
american civil liberties union aclu,1378,American Civil Liberties Union / Aclu,117
american civil liberties union aclu,1378,American Civil Liberties Union Aclu Of Massachusetts,10652634
american civil liberties union aclu,1378,American Civil Liberties Union Aclu Of Nevada,48843332
american civil liberties union aclu,1378,American Civil Liberties Union Of Indiana Aclu Of Indiana,48091127
american civil liberties union aclu,1378,American Civil Liberties Union Of Iowa Aclu-Ia,55398266
american civil liberties union aclu,1378,American Civil Liberties Union Of Ky (Aclu),49678486
american civil liberties union aclu,1378,American Civil Liberties Union Of Ky Aclu,53845394
american civil liberties union aclu,1378,American Civil Liberties Union Of Ky Aclu,54858562
american civil liberties union aclu,1378,American Civil Liberties Union Of Ky Aclu,55559086
liberty guard,2404,TimeoutException,TimeoutException
food policy action,2171,Food Policy Action,27851173
greenpeace,2884,Greenpeace,10745486
the american counseling association,1858,TimeoutException,TimeoutException
outdoor industry association political action committee,2562,TimeoutException,TimeoutException
christian democrats of america,3067,Christian Democrats Of America,48534413
council for citizens against government waste,13,Council For Citizens Against Government Waste,26788920
council for citizens against government waste,13,Council For Citizens Against Government Waste,39488969
council for citizens against government waste,13,Council For Citizens Against Government Waste,43130653
united states public interest research group us pirg,361,TimeoutException,TimeoutException
home school legal defense association,1933,Home School Legal Defense Association,10855099
home school legal defense association,1933,Home School Legal Defense Association,49678728
national stone sand gravel association,989,National Stone Sand & Gravel Association,1740783
national stone sand gravel association,989,National Stone Sand & Gravel Association-Nssga Rock,49816074
national stone sand gravel association,989,National Stone Sand &Gravel Association Rockpac,43950836
national stone sand gravel association,989,"National Stone, Sand & Gravel Association Pac Rockpac",49801255
national stone sand gravel association,989,"National Stone, Sand&Gravel Association Rockpac",45245818
national stone sand gravel association,989,Nssga Rockpac-National Sand Stone & Gravel Association Rockpac,43905323
clearpath action fund,2540,Clearpath Action Fund For Conservative Clean Energy Inc,43594832
clearpath action fund,2540,"Clearpath Action Fund For Conservative Clean Energy, Inc",43522528
comptia,1780,Comptia,47666203
comptia,1780,Comptia,49678611
comptia,1780,Comptia,49945234
national federation of federal employees,746,Maryland Federation Of National Active & Federal Employees,45044295
national federation of federal employees,746,Maryland Federation Of National Active & Retired Federal Employees,20553651
national federation of federal employees,746,Maryland Federation Of National Active & Retired Federal Employees,20576239
national federation of federal employees,746,Maryland Federation Of National Active & Retired Federal Employees,43125259
national federation of federal employees,746,Maryland Federation Of National Active & Retired Federal Employees,4815563
national federation of federal employees,746,Maryland Federation Of National Active And Retired Federal Employees Pac A6639,38869990
national federation of federal employees,746,Md Federation Of National Active & Retired Federal Employees,20580746
national federation of federal employees,746,Md Federation Of National Active & Retired Federal Employees,43093365
national federation of federal employees,746,National Active & Retired Federal Employees Association Virginia Federation Of Chapters,44106833
national federation of federal employees,746,National Federation Of Federal Employees Public Affairs Council,24724708
international foodservice distributors association,1773,International Foodservice Distributors Association,18927797
international foodservice distributors association,1773,International Foodservice Distributors Association,28725266
international foodservice distributors association,1773,International Foodservice Distributors Association,43588887
conservative strike force pac,2285,TimeoutException,TimeoutException
national small business association nsba,1501,TimeoutException,TimeoutException
eagle forum,1513,Arizona Eagle Forum,8789384
eagle forum,1513,Dallas Eagle Forum,10244386
eagle forum,1513,Dallas Eagle Forum,10245330
eagle forum,1513,Dallas Eagle Forum,11160061
eagle forum,1513,Dallas Eagle Forum,11214696
eagle forum,1513,Eagle Forum Alaska,9456296
eagle forum,1513,Eagle Forum California Oc Chapter,54279667
eagle forum,1513,Eagle Forum Education,44124699
eagle forum,1513,Eagle Forum Education & Legal Defense Fund,49298036
eagle forum,1513,Eagle Forum Education Foundaton,52970873
the american college of physicians,1738,Arizona Chapter Of The American College Of Emergency Physicians,8709359
the american college of physicians,1738,Arizona Society Of The American College Of Osteopathic Family Physicians,27725295
the american college of physicians,1738,California Chapter Of The American College Of Emergency Physicians,2440270
the american college of physicians,1738,Chapter Of The American College Of Physicians Services Inc Im Research & Service Corporation,27664482
the american college of physicians,1738,"Chapter Of The American College Of Physicians Services, Inc",37500605
the american college of physicians,1738,"Chapter Of The American College Of Physicians Services, Inc (Im Research & Service Corporation)",27671998
the american college of physicians,1738,Colorado Chapter Of The American College Of Emergency Physicians,6451951
the american college of physicians,1738,Delaware Chapter Of The American College Of Emergency Physicians,18776
the american college of physicians,1738,Florida Chapter Of The American College Of Emergency Physicians,18777
the american college of physicians,1738,Florida Chapter Of The American College Of Physicians Services Inc,27601674
citizens for health,1247,Allied Citizens For Healthcare Equity (Ache),27615980
citizens for health,1247,American Citizens For Health Choice,39037914
citizens for health,1247,Citizens Council For Health Freedom,32648468
citizens for health,1247,Citizens Council For Health Freedom (Fka Cit Cncl On Health Care),27725516
citizens for health,1247,Citizens Council For Health Freedom (Fka Citizens Cncl On Health Care),27722407
citizens for health,1247,Citizens For A Healthier Colorado,10239054
citizens for health,1247,Citizens For A Healthier Colorado,10872499
citizens for health,1247,Citizens For A Healthy Colorado,16203546
citizens for health,1247,Citizens For A Healthy Iowa,32022553
citizens for health,1247,Citizens For A Healthy Miami Dade,20641338
christian and jews united for israel,2125,TimeoutException,TimeoutException
league of southeastern credit unions,2033,League Of Southeastern Credit Unions,39500224
league of southeastern credit unions,2033,League Of Southeastern Credit Unions,7072959
legion for the survival of freedom inc liberty lobby,1494,TimeoutException,TimeoutException
americans for prosperity,310,Americans For Prosperity,48850164
americans for prosperity,310,Americans For Prosperity,53385325
americans for prosperity,310,Americans For Prosperity,53845411
americans for prosperity,310,Americans For Prosperity,53893329
americans for prosperity,310,Americans For Prosperity,53973023
americans for prosperity,310,Americans For Prosperity,53973058
americans for prosperity,310,Americans For Prosperity,54029674
americans for prosperity,310,Americans For Prosperity,54466379
americans for prosperity,310,Americans For Prosperity,54466757
americans for prosperity,310,Americans For Prosperity,54491759
americans for prosperity,310,Americans For Prosperity,54703351
americans for prosperity,310,Americans For Prosperity,54858580
americans for prosperity,310,Americans For Prosperity,54880555
americans for prosperity,310,Americans For Prosperity,54901283
americans for prosperity,310,Americans For Prosperity,55398275
americans for prosperity,310,Americans For Prosperity,55490455
americans for prosperity,310,Americans For Prosperity,55559105
americans for prosperity,310,Americans For Prosperity,9987
american family voices,1114,American Family Voices,5751
center for reclaiming america,1035,TimeoutException,TimeoutException
secular coalition for america,80,Secular Coalition For America,36379902
secular coalition for america,80,Secular Coalition For America,39486895
secular coalition for america,80,Secular Coalition For America,39715653
american federation of labor and congress of industrial organizations afl cio,1161,TimeoutException,TimeoutException
american family association action afa action,2622,TimeoutException,TimeoutException
campaign for a color blind america,318,TimeoutException,TimeoutException
united states border control,544,TimeoutException,TimeoutException
american library association,766,American Library Association,32212879
american library association,766,American Library Association,32215525
american library association,766,American Library Association,39487908
american library association,766,American Library Association,54465204
american library association,766,American Library Association,54877049
bread for the world,926,Bread For The World,27685201
bread for the world,926,Bread For The World,39487308
friends of intelligent democracy,3106,Friends Of Intelligent Democracy,46255844
military officers association of america,192,Military Officers Association Of America,32246745
military officers association of america,192,Military Officers Association Of America,39487756
military officers association of america,192,Military Officers Association Of America,44662316
military officers association of america,192,Military Officers Association Of America,44669600
military officers association of america,192,Military Officers Association Of America,44804456
elevate pac,3047,Jump Into Action For Conservatives To Keep Our Ideas Elevated Pac,40386738
elevate pac,3047,Jump Into Action For Conservatives To Keep Our Ideas Elevated Pac-Jackie,48558413
united we dream,3036,United We Dream Action,44208553
united we dream,3036,United We Dream Acton-C4,47726386
united we dream,3036,United We Dream Network,48853470
united we dream,3036,United We Dream Network Inc,48123922
united we dream,3036,United We Dream Network Inc,48836468
united we dream,3036,United We Dream Network Inc,50034008
united we dream,3036,United We Dream Network Inc,53799329
united we dream,3036,United We Dream Network Inc,54857424
united we dream,3036,United We Dream Network Inc,55559018
americans for legal immigration,1950,Americans For Legal Immigration,12093268
plumbing heating cooling contractors association,794,Plumbing Heating Cooling Contractors Association,11013576
plumbing heating cooling contractors association,794,Plumbing Heating Cooling Contractors Association,11425518
plumbing heating cooling contractors association,794,Plumbing Heating Cooling Contractors Association,6611675
the climate mobilization,2966,TimeoutException,TimeoutException
laborers international union of north america,2476,Laborers International Union Of North America,49647696
laborers international union of north america,2476,Laborers International Union Of North America,53005972
laborers international union of north america,2476,Laborers International Union Of North America,53301292
laborers international union of north america,2476,Laborers International Union Of North America,55398837
national association for college admission counseling nacac,54,TimeoutException,TimeoutException
,51107370
associated builders contractors abc,834,Abc Pac-Associated Builders & Contractors,51877722
associated builders contractors abc,834,Abc Pac-Associated Builders & Contractors Of T,48843774
associated builders contractors abc,834,Abc-Pac Associated Builders & Contractors,52488100
associated builders contractors abc,834,Abc-Pac Associated Builders & Contractors Fl East Coast Chapter Inc,54313377
associated builders contractors abc,834,"Abc-Pac Associated Builders & Contractors, Fl East Coast Chapter Inc",46381608
associated builders contractors abc,834,"Abc-Pac Associated Builders & Contractors, Florida East Coast Chapter",50276018
associated builders contractors abc,834,Abc-Pac Associated Builders & Contractors-Fl East Coast Chpt,50276017
associated builders contractors abc,834,Abc-Pac Associated Builders & Contractors-Florida East Coast Chapter Inc,50276019
associated builders contractors abc,834,"Abc-Pac, Associated Builders & Contractors Florida East Chapter",50830563
national restaurant association,1340,National Restaurant Association,1852
national association of wheat growers,684,National Association Of Wheat Growers,19653129
national association of wheat growers,684,National Association Of Wheat Growers,24782386
national association of wheat growers,684,National Association Of Wheat Growers,39487705
the club for growth,1734,TimeoutException,TimeoutException
end citizens united,2568,End Citizens United,32119999
depression and bipolar support alliance,1812,TimeoutException,TimeoutException
human rights campaign,1256,Human Rights Campaign,1276
run with pride,2649,TimeoutException,TimeoutException
humane society legislative fund,674,Humane Society Legislative Fund,49312989
humane society legislative fund,674,Humane Society Legislative Fund,53410817
humane society legislative fund,674,Humane Society Legislative Fund,53797746
humane society legislative fund,674,Humane Society Legislative Fund,55493859
american veterinary medical association,2031,American Veterinary Medical Association,11021444
christian action network,902,TimeoutException,TimeoutException
national association for the self employed,679,National Association For The Self Employed,5452813
students for a new american politics snap,2342,Students For A New American Politics Snap,45568381
young womens christian association ywca,2336,Young Womens Christian Association Ywca Oahu,43792422
senate conservatives fund,1972,Senate Conservatives Fund,18392829
senate conservatives fund,1972,Senate Conservatives Fund,24729296
senate conservatives fund,1972,Senate Conservatives Fund,47735757
americans for the protection of children,2345,Americans For The Protection Of Children,20815252
league of women voters,1833,League Of Women Voters,10717873
league of women voters,1833,League Of Women Voters,10770883
league of women voters,1833,League Of Women Voters,11019375
league of women voters,1833,League Of Women Voters,12257790
league of women voters,1833,League Of Women Voters,16129763
league of women voters,1833,League Of Women Voters,27621194
league of women voters,1833,League Of Women Voters,27623329
league of women voters,1833,League Of Women Voters,27637454
league of women voters,1833,League Of Women Voters,27638685
league of women voters,1833,League Of Women Voters,27678917
league of women voters,1833,League Of Women Voters,27683177
league of women voters,1833,League Of Women Voters,32251547
league of women voters,1833,League Of Women Voters,38554091
league of women voters,1833,League Of Women Voters,42050205
league of women voters,1833,League Of Women Voters,44645074
league of women voters,1833,League Of Women Voters,44687025
league of women voters,1833,League Of Women Voters,44700370
league of women voters,1833,League Of Women Voters,44726865
league of women voters,1833,League Of Women Voters,44752379
league of women voters,1833,League Of Women Voters,44793345
league of women voters,1833,League Of Women Voters,46130825
league of women voters,1833,League Of Women Voters,47063736
league of women voters,1833,League Of Women Voters,47778347
league of women voters,1833,League Of Women Voters,48554911
league of women voters,1833,League Of Women Voters,48789832
league of women voters,1833,League Of Women Voters,5020464
league of women voters,1833,League Of Women Voters,52867017
league of women voters,1833,League Of Women Voters,54867954
league of women voters,1833,League Of Women Voters,6583810
american security council foundation,668,TimeoutException,TimeoutException
public citizen,1461,Public Citizen,10831254
public citizen,1461,Public Citizen,27647230
public citizen,1461,Public Citizen,37950531
public citizen,1461,Public Citizen,43703198
public citizen,1461,Public Citizen,45175341
public citizen,1461,Public Citizen,48636786
public citizen,1461,Public Citizen,55444429
peoples action,2818,Peoples Action,45946103
peoples action,2818,Peoples Action,47779360
progressive turnout project,3032,Progressive Turnout Project,40812988
progressive turnout project,3032,Progressive Turnout Project,43240733
progressive turnout project,3032,Progressive Turnout Project,46841149
national active and retired federal employees association,447,TimeoutException,TimeoutException
communications workers of america,83,Communications Workers Of America,51335008
communications workers of america,83,Communications Workers Of America,53797998
communications workers of america,83,Communications Workers Of America,53845502
communications workers of america,83,Communications Workers Of America,54858685
communications workers of america,83,Communications Workers Of America,54880648
communications workers of america,83,Communications Workers Of America,55559214
association of community organization for reform now acorn,1673,Association Of Community Organizations For Reform Now (Acorn),27601408
association of community organization for reform now acorn,1673,Association Of Community Organizations For Reform Now (Ny)(Acorn),24752072
association of community organization for reform now acorn,1673,Association Of Community Organizations For Reform Now / Acorn,27612576
association of community organization for reform now acorn,1673,"Association Of Community Organizations For Reform Now, Inc (Acorn)",27650133
association of community organization for reform now acorn,1673,Nj Association Of Community Organizations For Reform Now (Nj Acorn),27608427
climate hawks vote,2513,Climate Hawks Vote,26354345
common defense,2960,Common Defense,44203360
the progressive vietnamese american organization pivot,2626,Pivot-The Progressive Vietnamese American Organization,47726220
doris day animal league,644,Doris Day Animal League,20920527
doris day animal league,644,Doris Day Animal League,27607185
doris day animal league,644,Doris Day Animal League,3829220
leadership conference on civil and human rights,169,TimeoutException,TimeoutException
financial executives international,233,Financial Executives International,39487269
mennonite central committee,1181,TimeoutException,TimeoutException
californians for population stabilization,988,TimeoutException,TimeoutException
indivisible,2811,Indivisible,52977117
sierra club,657,Sierra Club,2381
sierra club,657,Sierra Club,46697831
sierra club,657,Sierra Club,46888278
sierra club,657,Sierra Club,46888279
sierra club,657,Sierra Club,47412237
sierra club,657,Sierra Club,49296921
sierra club,657,Sierra Club,49298009
sierra club,657,Sierra Club,51156377
operative plasterers and cement masons international association,3114,TimeoutException,TimeoutException
international sleep products association,758,International Sleep Products Association,22254197
international sleep products association,758,International Sleep Products Association,24675556
international sleep products association,758,International Sleep Products Association,32246226
international sleep products association,758,International Sleep Products Association,4732234
international sleep products association,758,International Sleep Products Association,47753636
international sleep products association,758,International Sleep Products Association,47754184
international sleep products association,758,International Sleep Products Association,49945837
international sleep products association,758,International Sleep Products Association,53663292
international sleep products association,758,International Sleep Products Association,53797630
international sleep products association,758,International Sleep Products Association,53801446
international sleep products association,758,International Sleep Products Association,54858142
international sleep products association,758,International Sleep Products Association,55558740
international sleep products association,758,International Sleep Products Association,55560748
plug in america,2555,Plug In America,27685452
equality pac,2515,Equality Pac,26840606
equality pac,2515,Equality Pac,28305717
equality pac,2515,Equality Pac,7031000
equality pac,2515,Equality Pac,7078274
equality pac,2515,Equality Pac,7844473
american foreign service association,171,American Foreign Service Association,18927744
american foreign service association,171,American Foreign Service Association,29953870
american foreign service association,171,American Foreign Service Association,31823495
national womens political caucus,1654,National Womens Political Caucus,10933885
national womens political caucus,1654,National Womens Political Caucus,11007152
national womens political caucus,1654,National Womens Political Caucus,11021146
national womens political caucus,1654,National Womens Political Caucus,1370096
national womens political caucus,1654,National Womens Political Caucus,15987141
national womens political caucus,1654,National Womens Political Caucus,2227831
national womens political caucus,1654,National Womens Political Caucus,22370424
national womens political caucus,1654,National Womens Political Caucus,2346705
national womens political caucus,1654,National Womens Political Caucus,3350470
national womens political caucus,1654,National Womens Political Caucus,3725178
national womens political caucus,1654,National Womens Political Caucus,44808735
national womens political caucus,1654,National Womens Political Caucus,5309600
national womens political caucus,1654,National Womens Political Caucus,8684982
animal welfare institute,1574,Animal Welfare Institute,10034
american muslims for jerusalem,199,TimeoutException,TimeoutException
tea party patriots citizens fund,2500,Tea Party Patriots Citizens Fund,20815133
the international union of police associations,2893,TimeoutException,TimeoutException
american wilderness coalition,1081,TimeoutException,TimeoutException
republican majority for choice,741,Republican Majority For Choice,15465
republican majority for choice,741,Republican Majority For Choice,37118421
ivypac,2929,Ivypac Ivy,52326468
ivypac,2929,"Ivypac,",46456323
ivypac,2929,"Ivypac,",49929461
everytown for gun safety,2484,Everytown For Gun Safety,26142152
national tax limitation committee,23,National Tax Limitation Committee,2285950
american farm bureau federation,611,TimeoutException,TimeoutException
international association of bridge structural ornamental and reinforcing iron workers union,2475,TimeoutException,TimeoutException
taking the hill,3139,Taking The Hill,5021598
national association of elementary school principals,1669,National Association Of Elementary School Principals,15750131
national association of elementary school principals,1669,National Association Of Elementary School Principals,39495540
house conservatives fund,2350,House Conservatives Fund,17828410
the american hellenic educational progressive association,1848,TimeoutException,TimeoutException
american public health association,884,American Public Health Association,32213000
american public health association,884,American Public Health Association,32213165
american public health association,884,American Public Health Association,53951278
animal wellness action,3103,Animal Wellness Action,45680963
national ready mixed concrete association,351,National Ready Mixed Concrete Association,49325284
american society of anesthesiologists,762,American Society Of Anesthesiologists,3854
american society of anesthesiologists,762,American Society Of Anesthesiologists,45833335
american society of anesthesiologists,762,American Society Of Anesthesiologists,48338399
american society of anesthesiologists,762,American Society Of Anesthesiologists,52480044
the national wildlife federation action fund,2984,TimeoutException,TimeoutException
ocean champions,1916,Ocean Champions,3093137
radical middle,185,TimeoutException,TimeoutException
national association of government employees,2608,National Association Of Government Employees 10 / 15,48655057
national association of government employees,2608,National Association Of Government Employeess,44282170
fleet reserve association,1699,Fleet Reserve Association,39485189
fleet reserve association,1699,Fleet Reserve Association,47306976
fleet reserve association,1699,Fleet Reserve Association,48843114
fleet reserve association,1699,Fleet Reserve Association,49067318
clean water action,1938,Clean Water Action,10994638
clean water action,1938,Clean Water Action,15688144
clean water action,1938,Clean Water Action,24670753
clean water action,1938,Clean Water Action,24672607
clean water action,1938,Clean Water Action,27326059
clean water action,1938,Clean Water Action,27621680
clean water action,1938,Clean Water Action,27624108
clean water action,1938,Clean Water Action,27644576
clean water action,1938,Clean Water Action,27654154
clean water action,1938,Clean Water Action,27688312
clean water action,1938,Clean Water Action,27716767
clean water action,1938,Clean Water Action,27722962
clean water action,1938,Clean Water Action,33024900
clean water action,1938,Clean Water Action,40630208
clean water action,1938,Clean Water Action,40632577
clean water action,1938,Clean Water Action,42050206
clean water action,1938,Clean Water Action,43791024
clean water action,1938,Clean Water Action,50032828
clean water action,1938,Clean Water Action,513397
clean water action,1938,Clean Water Action,53798696
clean water action,1938,Clean Water Action,6715622
clean water action,1938,Clean Water Action,9210290
pride fund to end gun violence,2551,Pride Fund To End Gun Violence,42490484
pride fund to end gun violence,2551,Pride Fund To End Gun Violence,48382619
center for worker freedom formerly known as alliance for worker freedom,1856,TimeoutException,TimeoutException
house freedom fund,2646,House Freedom Fund,38256620
house freedom fund,2646,House Freedom Fund,45105213
house freedom fund,2646,House Freedom Fund,48568212
national council of senior citizens,1466,TimeoutException,TimeoutException
blakpac,2849,Blakpac,40811950
blakpac,2849,Blakpac,42817893
emgage action,2550,Emgage Action,47750615
emgage action,2550,Emgage Action,47760626
venn institute,2403,TimeoutException,TimeoutException
american congress of obstetricians and gynecologists,38,TimeoutException,TimeoutException
the leukemia lymphoma society lls,799,TimeoutException,TimeoutException
leading age,367,Leading Age,43397502
leading age,367,Leading Age,48873104
leading age,367,Leading Age,54417008
competitive enterprise institute,77,Competitive Enterprise Institute,44165528
state pirgs working together,205,TimeoutException,TimeoutException
united states business and industry council,1215,TimeoutException,TimeoutException
united states english,1783,TimeoutException,TimeoutException
vote mama,3030,Vote Mama,47757876
vote mama,3030,Vote Mama,47758046
vote mama,3030,Vote Mama,49659023
vote mama,3030,Vote Mama,53960801
vote mama,3030,Vote Mama,54280514
american coalition for ethanol,1211,American Coalition For Ethanol,39488675
american coalition for ethanol,1211,American Coalition For Ethanol,40619179
emerge america,2810,Emerge America,15739014
emerge america,2810,Emerge America,45300266
emerge america,2810,Emerge America,45677258
emerge america,2810,Emerge America,49067481
emerge america,2810,Emerge America,50108352
emerge america,2810,Emerge America,50213720
emerge america,2810,Emerge America,50236091
emerge america,2810,Emerge America,50409840
alliance for retired americans,959,Alliance For Retired Americans,38430277
alliance for retired americans,959,Alliance For Retired Americans,39486116
alliance for retired americans,959,Alliance For Retired Americans,44183294
american federation of state county municipal employees afscme,1254,American Federation Of State County & Municipal Employees / Afscme,19117
american federation of state county municipal employees afscme,1254,American Federation Of State County & Municipal Employees Afscme,53519410
american federation of state county municipal employees afscme,1254,American Federation Of State County & Municipal Employees Afscme California People Small Contributor Committee,55699689
american federation of state county municipal employees afscme,1254,"American Federation Of State, County & Municipal Employees Afscme Local 1902 Pac-Californians For Clean & Reliable Water",55703285
american federation of state county municipal employees afscme,1254,"American Federation Of State, County & Municipal Employees Afscme Local 2019",55704670
american federation of state county municipal employees afscme,1254,"American Federation Of State, County & Municipal Employees Afscme Local 3299",55708069
american federation of state county municipal employees afscme,1254,"American Federation Of State, County & Municipal Employees Afscme-Ca People Small Contributor Committee",55708068
american federation of state county municipal employees afscme,1254,"American Federation Of State, County & Municipal Employees Afscme-Council 57",55708067
american federation of state county municipal employees afscme,1254,"American Federation Of State, County & Municipal Employees California People Afscme Ca People Small Contributor Committee",54257606
american federation of state county municipal employees afscme,1254,"American Federation Of State, County & Municipal Employees Local 2620 Pac Afscme",51681953
democratic congressional campaign committee,3052,Democratic Congressional Campaign Committee-Contribution,45135605
black economic alliance,2808,Black Economic Alliance,46142094
national black republican association,2494,National Black Republican Association,5260560
citizens for trump,2800,TimeoutException,TimeoutException
united states chamber of commerce,755,United States Chamber Of Commerce,41707902
blue dog coalition,2333,Blue Dog Coalition,6035
empower america project,3063,TimeoutException,TimeoutException
asian american action fund,2321,Asian American Action Fund,10843402
asian american action fund,2321,Asian American Action Fund,188170
asian american action fund,2321,Asian American Action Fund,6265573
ifnotnow,3034,TimeoutException,TimeoutException
the jewish vote,3126,TimeoutException,TimeoutException
muslim public affairs council,2411,Muslim Public Affairs Council,10692255
black lives matter pac,3250,TimeoutException,TimeoutException
national iranian american council,2402,National Iranian American Council Action,52470854
national iranian american council,2402,National Iranian American Council Niac Action,53371573
independent electrical contractors,2026,Independent Electrical Contractors,4019522
common cause,935,Common Cause,10746150
common cause,935,Common Cause,48636764
common cause,935,Common Cause,50200378
common cause,935,Common Cause,50879590
common cause,935,Common Cause,54640222
common cause,935,Common Cause,55399653
nrdc action fund,2488,Nrdc Action Fund,48848817
nrdc action fund,2488,Nrdc Action Fund,50170979
nrdc action fund,2488,Nrdc Action Fund,55400234
candidates with a contract,2650,TimeoutException,TimeoutException
federally employed women,1343,Federally Employed Women,43592671
parkinsons action network,517,Parkinsons Action Network,32513296
parkinsons action network,517,Parkinsons Action Network,39487616
american conservative union acu,1481,TimeoutException,TimeoutException
big cat rescue,1704,Big Cat Rescue,3829640
big cat rescue,1704,Big Cat Rescue,39508654
the public affairs alliance of iranian americans,1855,TimeoutException,TimeoutException
income movement,3018,TimeoutException,TimeoutException
national association for gun rights,3021,National Association For Gun Rights,12564489
national association for gun rights,3021,National Association For Gun Rights,49679022
national association for gun rights,3021,National Association For Gun Rights,54465433
network a national catholic social justice lobby,1084,TimeoutException,TimeoutException
amalgamated transit union,2951,Amalgamated Transit Union,49945858
amalgamated transit union,2951,Amalgamated Transit Union,50862004
amalgamated transit union,2951,Amalgamated Transit Union,50862005
amalgamated transit union,2951,Amalgamated Transit Union,50862007
amalgamated transit union,2951,Amalgamated Transit Union,50862008
amalgamated transit union,2951,Amalgamated Transit Union,50862009
amalgamated transit union,2951,Amalgamated Transit Union,52340038
amalgamated transit union,2951,Amalgamated Transit Union,53797642
amalgamated transit union,2951,Amalgamated Transit Union,54858155
amalgamated transit union,2951,Amalgamated Transit Union,55505053
amalgamated transit union,2951,Amalgamated Transit Union,55560758
mijente,2958,Mijente,53003900
national family planning reproductive health association,1488,National Family Planning & Reproductive Health Association,39485410
national family planning reproductive health association,1488,National Family Planning & Reproductive Health Association,8657994
associated general contractors of america,503,Associated General Contractors Of America,6294467
league of conservation voters,1012,League Of Conservation Voters,1517
league of conservation voters,1012,League Of Conservation Voters,25135816
league of conservation voters,1012,League Of Conservation Voters,44105120
league of conservation voters,1012,League Of Conservation Voters,44634287
league of conservation voters,1012,League Of Conservation Voters,45229818
league of conservation voters,1012,League Of Conservation Voters,47809555
league of conservation voters,1012,League Of Conservation Voters,54851106
north americas building trades unions,2478,North Americas Building Trades Unions,39495212
north americas building trades unions,2478,North Americas Building Trades Unions,41837311
justice democrats,2620,Justice Democrats,44336187
justice democrats,2620,Justice Democrats,45019848
justice democrats,2620,Justice Democrats,45120421
justice democrats,2620,Justice Democrats,48115949
justice democrats,2620,Justice Democrats,48118598
heritage action for america,2061,Heritage Action For America,18929637
heritage action for america,2061,Heritage Action For America,19919628
heritage action for america,2061,Heritage Action For America,39485945
heritage action for america,2061,Heritage Action For America,40945846
heritage action for america,2061,Heritage Action For America,54901406
heritage action for america,2061,Heritage Action For America,54916943
heritage action for america,2061,Heritage Action For America,55126528
combat veterans for congress,1955,Combat Veterans For Congress,18928461
